old_identifier,new_identifier
AI_HMI_SP_PLC1_Toc_Do_Bon1,HMI_SP_PLC1_Toc_Do_Bon1
AI_HMI_SP_PLC1_Toc_Do_Bon2_Main,HMI_SP_PLC1_Toc_Do_Bon2_Main
AI_HMI_SP_PLC2_Nhiet_Do_Bon4,HMI_SP_PLC2_Nhiet_Do_Bon4
AI_HMI_SP_PLC2_Nuoc_Bon3,HMI_SP_PLC2_Nuoc_Bon3
AI_HMI_SP_PLC2_Nuoc_Bon4,HMI_SP_PLC2_Nuoc_Bon4
AI_HMI_SP_PLC2_Toc_Do_Bon3,HMI_SP_PLC2_Toc_Do_Bon3
AI_HMI_SP_PLC2_Toc_Do_Bon4_Main,HMI_SP_PLC2_Toc_Do_Bon4_Main
AI_HMI_SP_Time_Fwd,HMI_SP_Time_Fwd
AI_HMI_SP_Time_Khuay_,HMI_SP_Time_Khuay_
AI_HMI_SP_Time_Khuay_Bon1,HMI_SP_Time_Khuay_Bon1
AI_HMI_SP_Time_Khuay_Bon3,HMI_SP_Time_Khuay_Bon3
AI_HMI_SP_Time_Rev,HMI_SP_Time_Rev
AI_HMI_SP_Time_Sterilize,HMI_SP_Time_Sterilize
AI_HMI_Sim_Active_Warning,HMI_Sim_Active_Warning
AI_HMI_Sim_Mode,HMI_Sim_Mode
AI_HMI_Use_Sim_Input_BonChua,HMI_Use_Sim_Input_BonChua
AI_HMI_Use_Sim_Input_PLC1,HMI_Use_Sim_Input_PLC1
AI_HMI_Use_Sim_Input_PLC2,HMI_Use_Sim_Input_PLC2
AI_HMI_User_Level,HMI_User_Level
AI_Init_Defaults_Done_BonChua,Init_Defaults_Done_BonChua
AI_Init_Defaults_Done_PLC1,Init_Defaults_Done_PLC1
AI_Init_Defaults_Done_PLC2,Init_Defaults_Done_PLC2
AI_Init_Trigger_BonChua,Init_Trigger_BonChua
AI_Init_Trigger_PLC1,Init_Trigger_PLC1
AI_Init_Trigger_PLC2,Init_Trigger_PLC2
AI_LS3202_Bon1_Cao,LS3202_Bon1_Cao
AI_LS3202_Bon1_Cao_Eff,LS3202_Bon1_Cao_Eff
AI_LS3202_Bon1_Cao_HMI,LS3202_Bon1_Cao_HMI
AI_LS3202_Bon1_Cao_HMI_Gated,LS3202_Bon1_Cao_HMI_Gated
AI_LS3217_Bon4_Cao,LS3217_Bon4_Cao
AI_LS3217_Bon4_Cao_Eff,LS3217_Bon4_Cao_Eff
AI_LS3217_Bon4_Cao_HMI,LS3217_Bon4_Cao_HMI
AI_LS3217_Bon4_Cao_HMI_Gated,LS3217_Bon4_Cao_HMI_Gated
AI_LSH3310_Pheu_Cao,LSH3310_Pheu_Cao
AI_LSH3310_Pheu_Cao_Eff,LSH3310_Pheu_Cao_Eff
AI_LSH3310_Pheu_Cao_HMI,LSH3310_Pheu_Cao_HMI
AI_LSH3310_Pheu_Cao_HMI_Gated,LSH3310_Pheu_Cao_HMI_Gated
AI_LSL3311_Pheu_Thap,LSL3311_Pheu_Thap
AI_LSL3311_Pheu_Thap_Eff,LSL3311_Pheu_Thap_Eff
AI_LSL3311_Pheu_Thap_HMI,LSL3311_Pheu_Thap_HMI
AI_LSL3311_Pheu_Thap_HMI_Gated,LSL3311_Pheu_Thap_HMI_Gated
AI_LT3203_Bon1,LT3203_Bon1
AI_LT3203_Bon1_Eff,LT3203_Bon1_Eff
AI_LT3203_Bon1_HMI,LT3203_Bon1_HMI
AI_LT3203_Bon1_Sim_Active,LT3203_Bon1_Sim_Active
AI_LT3203_Bon1_Sim_Req,LT3203_Bon1_Sim_Req
AI_LT3203_Bon1_Use_HMI,LT3203_Bon1_Use_HMI
AI_LT3209_Bon2,LT3209_Bon2
AI_LT3209_Bon2_Eff,LT3209_Bon2_Eff
AI_LT3209_Bon2_HMI,LT3209_Bon2_HMI
AI_LT3209_Bon2_Sim_Active,LT3209_Bon2_Sim_Active
AI_LT3209_Bon2_Sim_Req,LT3209_Bon2_Sim_Req
AI_LT3209_Bon2_Use_HMI,LT3209_Bon2_Use_HMI
AI_LT3213_Bon3,LT3213_Bon3
AI_LT3213_Bon3_Eff,LT3213_Bon3_Eff
AI_LT3213_Bon3_HMI,LT3213_Bon3_HMI
AI_LT3213_Bon3_Sim_Active,LT3213_Bon3_Sim_Active
AI_LT3213_Bon3_Sim_Req,LT3213_Bon3_Sim_Req
AI_LT3213_Bon3_Use_HMI,LT3213_Bon3_Use_HMI
AI_LT3218_Bon4,LT3218_Bon4
AI_LT3218_Bon4_Eff,LT3218_Bon4_Eff
AI_LT3218_Bon4_HMI,LT3218_Bon4_HMI
AI_LT3218_Bon4_Sim_Active,LT3218_Bon4_Sim_Active
AI_LT3218_Bon4_Sim_Req,LT3218_Bon4_Sim_Req
AI_LT3218_Bon4_Use_HMI,LT3218_Bon4_Use_HMI
AI_LT3302_BonChua1,LT3302_BonChua1
AI_LT3302_BonChua1_Eff,LT3302_BonChua1_Eff
AI_LT3302_BonChua1_HMI,LT3302_BonChua1_HMI
AI_LT3302_BonChua1_Sim_Active,LT3302_BonChua1_Sim_Active
AI_LT3302_BonChua1_Sim_Req,LT3302_BonChua1_Sim_Req
AI_LT3302_BonChua1_Use_HMI,LT3302_BonChua1_Use_HMI
AI_LT3307_BonChua2,LT3307_BonChua2
AI_LT3307_BonChua2_Eff,LT3307_BonChua2_Eff
AI_LT3307_BonChua2_HMI,LT3307_BonChua2_HMI
AI_LT3307_BonChua2_Sim_Active,LT3307_BonChua2_Sim_Active
AI_LT3307_BonChua2_Sim_Req,LT3307_BonChua2_Sim_Req
AI_LT3307_BonChua2_Use_HMI,LT3307_BonChua2_Use_HMI
AI_MB_TCP_Any_Cmd_Edge,MB_TCP_Any_Cmd_Edge
AI_MB_TCP_BUSY,MB_TCP_BUSY
AI_MB_TCP_DONE,MB_TCP_DONE
AI_MB_TCP_DataAddr,MB_TCP_DataAddr
AI_MB_TCP_DataLen,MB_TCP_DataLen
AI_MB_TCP_ERROR,MB_TCP_ERROR
AI_MB_TCP_Mode,MB_TCP_Mode
AI_MB_TCP_REQ,MB_TCP_REQ
AI_MB_TCP_Read_Error,MB_TCP_Read_Error
AI_MB_TCP_STATUS,MB_TCP_STATUS
AI_MB_TCP_Server_DR,MB_TCP_Server_DR
AI_MB_TCP_Server_Error,MB_TCP_Server_Error
AI_MB_TCP_Server_NDR,MB_TCP_Server_NDR
AI_MB_TCP_Server_Status,MB_TCP_Server_Status
AI_MB_TCP_Write_Error,MB_TCP_Write_Error
AI_MB_TCP_iStep,MB_TCP_iStep
AI_Nut_Dung,Nut_Dung
AI_Nut_Dung_Eff,Nut_Dung_Eff
AI_Nut_Dung_Eff_Edge,Nut_Dung_Eff_Edge
AI_Nut_Dung_Eff_Old,Nut_Dung_Eff_Old
AI_Nut_Dung_HMI,Nut_Dung_HMI
AI_Nut_Dung_HMI_Gated,Nut_Dung_HMI_Gated
AI_Nut_Dung_Nhan,Nut_Dung_Nhan
AI_Nut_Dung_Nhan_Eff,Nut_Dung_Nhan_Eff
AI_Nut_Dung_Nhan_HMI,Nut_Dung_Nhan_HMI
AI_Nut_Dung_Nhan_HMI_Gated,Nut_Dung_Nhan_HMI_Gated
AI_Nut_EStop,Nut_EStop
AI_Nut_EStop_Eff,Nut_EStop_Eff
AI_Nut_EStop_Eff_Edge,Nut_EStop_Eff_Edge
AI_Nut_EStop_Eff_Old,Nut_EStop_Eff_Old
AI_Nut_EStop_HMI,Nut_EStop_HMI
AI_Nut_EStop_HMI_Gated,Nut_EStop_HMI_Gated
AI_Nut_EStop_Nhan,Nut_EStop_Nhan
AI_Nut_EStop_Nhan_Eff,Nut_EStop_Nhan_Eff
AI_Nut_EStop_Nhan_HMI,Nut_EStop_Nhan_HMI
AI_Nut_EStop_Nhan_HMI_Gated,Nut_EStop_Nhan_HMI_Gated
AI_Nut_Khoi_Dong,Nut_Khoi_Dong
AI_Nut_Khoi_Dong_Eff,Nut_Khoi_Dong_Eff
AI_Nut_Khoi_Dong_Eff_Edge,Nut_Khoi_Dong_Eff_Edge
AI_Nut_Khoi_Dong_Eff_Old,Nut_Khoi_Dong_Eff_Old
AI_Nut_Khoi_Dong_HMI,Nut_Khoi_Dong_HMI
AI_Nut_Khoi_Dong_HMI_Gated,Nut_Khoi_Dong_HMI_Gated
AI_Nut_Khoi_Dong_Nhan,Nut_Khoi_Dong_Nhan
AI_Nut_Khoi_Dong_Nhan_Eff,Nut_Khoi_Dong_Nhan_Eff
AI_Nut_Khoi_Dong_Nhan_HMI,Nut_Khoi_Dong_Nhan_HMI
AI_Nut_Khoi_Dong_Nhan_HMI_Gated,Nut_Khoi_Dong_Nhan_HMI_Gated
AI_Nut_Reset,Nut_Reset
AI_Nut_Reset_Eff,Nut_Reset_Eff
AI_Nut_Reset_Eff_Edge,Nut_Reset_Eff_Edge
AI_Nut_Reset_Eff_Old,Nut_Reset_Eff_Old
AI_Nut_Reset_HMI,Nut_Reset_HMI
AI_Nut_Reset_HMI_Gated,Nut_Reset_HMI_Gated
AI_Nut_Reset_Nhan,Nut_Reset_Nhan
AI_Nut_Reset_Nhan_Eff,Nut_Reset_Nhan_Eff
AI_Nut_Reset_Nhan_HMI,Nut_Reset_Nhan_HMI
AI_Nut_Reset_Nhan_HMI_Gated,Nut_Reset_Nhan_HMI_Gated
AI_PI3308_Truoc_Filter,PI3308_Truoc_Filter
AI_PI3308_Truoc_Filter_Eff,PI3308_Truoc_Filter_Eff
AI_PI3308_Truoc_Filter_HMI,PI3308_Truoc_Filter_HMI
AI_PI3308_Truoc_Filter_Sim_Active,PI3308_Truoc_Filter_Sim_Active
AI_PI3308_Truoc_Filter_Sim_Req,PI3308_Truoc_Filter_Sim_Req
AI_PI3308_Truoc_Filter_Use_HMI,PI3308_Truoc_Filter_Use_HMI
AI_PID_Bon2_,PID_Bon2_
AI_PID_Bon2_CV,PID_Bon2_CV
AI_PID_Bon2_Enable,PID_Bon2_Enable
AI_PID_Bon2_Err,PID_Bon2_Err
AI_PID_Bon2_Error,PID_Bon2_Error
AI_PID_Bon2_ErrorBits,PID_Bon2_ErrorBits
AI_PID_Bon2_Kp_HMI,PID_Bon2_Kp_HMI
AI_PID_Bon2_ManualEnable,PID_Bon2_ManualEnable
AI_PID_Bon2_ManualValue,PID_Bon2_ManualValue
AI_PID_Bon2_Reset_Eff,PID_Bon2_Reset_Eff
AI_PID_Bon2_SP,PID_Bon2_SP
AI_PID_Bon2_State,PID_Bon2_State
AI_PID_Bon2_Temp_Inc,PID_Bon2_Temp_Inc
AI_PID_Bon2_Ti_HMI,PID_Bon2_Ti_HMI
AI_PID_Bon4_,PID_Bon4_
AI_PID_Bon4_CV,PID_Bon4_CV
AI_PID_Bon4_CV_Recv,PID_Bon4_CV_Recv
AI_PID_Bon4_Enable,PID_Bon4_Enable
AI_PID_Bon4_Err,PID_Bon4_Err
AI_PID_Bon4_Error,PID_Bon4_Error
AI_PID_Bon4_ErrorBits,PID_Bon4_ErrorBits
AI_PID_Bon4_Kp_HMI,PID_Bon4_Kp_HMI
AI_PID_Bon4_ManualEnable,PID_Bon4_ManualEnable
AI_PID_Bon4_ManualValue,PID_Bon4_ManualValue
AI_PID_Bon4_PV_Recv,PID_Bon4_PV_Recv
AI_PID_Bon4_Reset_Eff,PID_Bon4_Reset_Eff
AI_PID_Bon4_SP,PID_Bon4_SP
AI_PID_Bon4_SP_Recv,PID_Bon4_SP_Recv
AI_PID_Bon4_Sim_Angle,PID_Bon4_Sim_Angle
AI_PID_Bon4_Sim_Counter,PID_Bon4_Sim_Counter
AI_PID_Bon4_Sim_Noise,PID_Bon4_Sim_Noise
AI_PID_Bon4_Sim_Sin,PID_Bon4_Sim_Sin
AI_PID_Bon4_State,PID_Bon4_State
AI_PID_Bon4_Tang_Nhiet_Buoc,PID_Bon4_Tang_Nhiet_Buoc
AI_PID_Bon4_Temp_Val_1,PID_Bon4_Temp_Val_1
AI_PID_Bon4_Temp_Val_2,PID_Bon4_Temp_Val_2
AI_PID_Bon4_Ti_HMI,PID_Bon4_Ti_HMI
AI_PID_Compact_1,PID_Compact_1
AI_PID_Compact_2,PID_Compact_2
AI_PLC1,PLC1
AI_PLC1_Auto_Enable,PLC1_Auto_Enable
AI_PLC1_EStop_Latch,PLC1_EStop_Latch
AI_PLC1_Heartbeat_Changed,PLC1_Heartbeat_Changed
AI_PLC1_Heartbeat_Last,PLC1_Heartbeat_Last
AI_PLC1_Heartbeat_Timeout,PLC1_Heartbeat_Timeout
AI_PLC1_Heartbeat_Timeout_Acc,PLC1_Heartbeat_Timeout_Acc
